iid,id,gender,wave,pid,match,int_corr,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,field_cd,undergra,race,imprace,income,goal,date,go_out,career,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es,attr1_s,sinc1_s,intel1_s,fun1_s,amb1_s,shar1_s,attr3_s,sinc3_s,intel3_s,fun3_s,amb3_s,satis_2,attr7_2,sinc7_2,intel7_2,fun7_2,amb7_2,shar7_2,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr4_2,sinc4_2,intel4_2,fun4_2,amb4_2,shar4_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2,attr5_2,sinc5_2,intel5_2,fun5_2,date_3,attr1_3,sinc1_3,intel1_3,fun1_3,amb1_3,shar1_3,attr7_3,sinc7_3,intel7_3,fun7_3,amb7_3,shar7_3,attr4_3,sinc4_3,intel4_3,fun4_3,amb4_3,shar4_3,attr2_3,sinc2_3,intel2_3,fun2_3,amb2_3,shar2_3,attr3_3,sinc3_3,intel3_3,fun3_3,amb3_3,attr5_3,sinc5_3,intel5_3,fun5_3,amb5_3
132,1,0,6,137,0,0.16,26,4,17.39,17.39,15.22,17.39,13.04,19.57,1,8.00,8.00,9.00,8.00,9.00,7.00,7.00,6.00,1,27,Finance,8.00,,2,10,40,375.00,1,7,2,Asset Management,7,22.73,15.91,13.64,15.91,13.64,18.18,8,10,10,9,10,,,,,,0,7.00,9.00,7.00,9.00,6.00,9.00,8.00,7.00,1,0.00,16.67,16.67,16.67,16.67,16.67,16.67,8.00,9.00,8.00,10,10,7,,,,,,,15.79,17.54,15.79,17.54,17.54,15.79,8,10,10,7,9,7,18.87,15.09,13.21,18.87,15.09,18.87,9,10,8,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,1,0,6,138,0,0.34,32,2,20.00,20.00,20.00,20.00,6.67,13.33,1,8.00,7.00,4.00,6.00,6.00,4.00,8.00,6.00,2,27,Finance,8.00,,2,10,40,375.00,1,7,2,Asset Management,7,22.73,15.91,13.64,15.91,13.64,18.18,8,10,10,9,10,,,,,,0,8.00,8.00,8.00,8.00,8.00,8.00,8.00,5.00,2,0.00,16.67,16.67,16.67,16.67,16.67,16.67,8.00,9.00,8.00,10,10,7,,,,,,,15.79,17.54,15.79,17.54,17.54,15.79,8,10,10,7,9,7,18.87,15.09,13.21,18.87,15.09,18.87,9,10,8,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,1,0,6,139,0,0.52,37,4,18.75,16.67,18.75,20.83,12.50,12.50,1,8.00,,8.00,8.00,7.00,,8.00,6.00,2,27,Finance,8.00,,2,10,40,375.00,1,7,2,Asset Management,7,22.73,15.91,13.64,15.91,13.64,18.18,8,10,10,9,10,,,,,,0,5.00,7.00,9.00,5.00,9.00,5.00,5.00,5.00,2,0.00,16.67,16.67,16.67,16.67,16.67,16.67,8.00,9.00,8.00,10,10,7,,,,,,,15.79,17.54,15.79,17.54,17.54,15.79,8,10,10,7,9,7,18.87,15.09,13.21,18.87,15.09,18.87,9,10,8,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,1,0,6,140,1,0.13,29,2,18.60,16.28,18.60,18.60,11.63,16.28,1,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,1,27,Finance,8.00,,2,10,40,375.00,1,7,2,Asset Management,7,22.73,15.91,13.64,15.91,13.64,18.18,8,10,10,9,10,,,,,,1,8.00,9.00,9.00,9.00,9.00,8.00,9.00,7.00,1,0.00,16.67,16.67,16.67,16.67,16.67,16.67,8.00,9.00,8.00,10,10,7,,,,,,,15.79,17.54,15.79,17.54,17.54,15.79,8,10,10,7,9,7,18.87,15.09,13.21,18.87,15.09,18.87,9,10,8,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,1,0,6,141,0,0.05,28,3,20.83,20.83,16.67,16.67,6.25,18.75,1,8.00,7.00,7.00,7.00,7.00,8.00,7.00,7.00,1,27,Finance,8.00,,2,10,40,375.00,1,7,2,Asset Management,7,22.73,15.91,13.64,15.91,13.64,18.18,8,10,10,9,10,,,,,,0,5.00,8.00,8.00,8.00,7.00,7.00,7.00,7.00,1,0.00,16.67,16.67,16.67,16.67,16.67,16.67,8.00,9.00,8.00,10,10,7,,,,,,,15.79,17.54,15.79,17.54,17.54,15.79,8,10,10,7,9,7,18.87,15.09,13.21,18.87,15.09,18.87,9,10,8,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,2,0,6,137,0,-0.15,26,4,17.39,17.39,15.22,17.39,13.04,19.57,0,6.00,10.00,10.00,6.00,7.00,5.00,7.00,6.00,2,24,electrical engineering,5.00,,4,8,,1,6,5,a research position,7,24.32,16.22,13.51,16.22,10.81,18.92,6,8,7,8,7,,,,,,0,7.00,7.00,7.00,8.00,6.00,8.00,7.00,7.00,2,,12.77,17.02,19.15,17.02,14.89,19.15,5.00,8.00,7.00,7,5,7,,,,,,,15.22,17.39,17.39,17.39,15.22,17.39,7,7,7,7,7,7,17.78,15.56,15.56,17.78,15.56,17.78,6,7,7,6,7,,,,,0,11.36,18.18,18.18,18.18,15.91,18.18,,,,,,,7,7,7,7,7,7,9,7,6,8,6,,4,7,7,7,7,,,,,
133,2,0,6,138,0,-0.51,32,2,20.00,20.00,20.00,20.00,6.67,13.33,0,3.00,8.00,8.00,9.00,8.00,1.00,1.00,1.00,2,24,electrical engineering,5.00,,4,8,,1,6,5,a research position,7,24.32,16.22,13.51,16.22,10.81,18.92,6,8,7,8,7,,,,,,0,7.00,6.00,8.00,7.00,8.00,6.00,6.00,5.00,2,,12.77,17.02,19.15,17.02,14.89,19.15,5.00,8.00,7.00,7,5,7,,,,,,,15.22,17.39,17.39,17.39,15.22,17.39,7,7,7,7,7,7,17.78,15.56,15.56,17.78,15.56,17.78,6,7,7,6,7,,,,,0,11.36,18.18,18.18,18.18,15.91,18.18,,,,,,,7,7,7,7,7,7,9,7,6,8,6,,4,7,7,7,7,,,,,
133,2,0,6,139,0,0.25,37,4,18.75,16.67,18.75,20.83,12.50,12.50,1,6.00,8.00,10.00,6.00,8.00,,6.00,7.00,2,24,electrical engineering,5.00,,4,8,,1,6,5,a research position,7,24.32,16.22,13.51,16.22,10.81,18.92,6,8,7,8,7,,,,,,0,6.00,5.00,5.00,6.00,6.00,7.00,7.00,7.00,2,,12.77,17.02,19.15,17.02,14.89,19.15,5.00,8.00,7.00,7,5,7,,,,,,,15.22,17.39,17.39,17.39,15.22,17.39,7,7,7,7,7,7,17.78,15.56,15.56,17.78,15.56,17.78,6,7,7,6,7,,,,,0,11.36,18.18,18.18,18.18,15.91,18.18,,,,,,,7,7,7,7,7,7,9,7,6,8,6,,4,7,7,7,7,,,,,
133,2,0,6,140,0,-0.35,29,2,18.60,16.28,18.60,18.60,11.63,16.28,0,5.00,9.00,8.00,6.00,8.00,6.00,6.00,6.00,2,24,electrical engineering,5.00,,4,8,,1,6,5,a research position,7,24.32,16.22,13.51,16.22,10.81,18.92,6,8,7,8,7,,,,,,0,8.00,7.00,7.00,8.00,8.00,7.00,7.00,6.00,2,,12.77,17.02,19.15,17.02,14.89,19.15,5.00,8.00,7.00,7,5,7,,,,,,,15.22,17.39,17.39,17.39,15.22,17.39,7,7,7,7,7,7,17.78,15.56,15.56,17.78,15.56,17.78,6,7,7,6,7,,,,,0,11.36,18.18,18.18,18.18,15.91,18.18,,,,,,,7,7,7,7,7,7,9,7,6,8,6,,4,7,7,7,7,,,,,
133,2,0,6,141,0,0.19,28,3,20.83,20.83,16.67,16.67,6.25,18.75,1,6.00,10.00,9.00,9.00,6.00,5.00,8.00,8.00,2,24,electrical engineering,5.00,,4,8,,1,6,5,a research position,7,24.32,16.22,13.51,16.22,10.81,18.92,6,8,7,8,7,,,,,,0,5.00,6.00,5.00,7.00,5.00,6.00,5.00,5.00,2,,12.77,17.02,19.15,17.02,14.89,19.15,5.00,8.00,7.00,7,5,7,,,,,,,15.22,17.39,17.39,17.39,15.22,17.39,7,7,7,7,7,7,17.78,15.56,15.56,17.78,15.56,17.78,6,7,7,6,7,,,,,0,11.36,18.18,18.18,18.18,15.91,18.18,,,,,,,7,7,7,7,7,7,9,7,6,8,6,,4,7,7,7,7,,,,,
134,3,0,6,137,1,-0.10,26,4,17.39,17.39,15.22,17.39,13.04,19.57,1,9.00,9.00,9.00,8.00,8.00,7.00,9.00,6.00,2,23,marine geophysics,10.00,,2,8,48,929.00,1,5,3,professor,6,20.51,15.38,12.82,20.51,12.82,17.95,7,8,8,8,8,,,,,,1,8.00,9.00,7.00,9.00,10.00,8.00,9.00,6.00,2,1.00,6.67,22.22,20.00,17.78,17.78,15.56,7.00,9.00,8.00,7,9,6,,,,,,,10.00,18.00,18.00,18.00,18.00,18.00,8,9,7,8,7,5,22.50,17.50,12.50,20.00,12.50,15.00,7,8,9,7,9,,,,,0,9.52,19.05,19.05,19.05,19.05,14.29,,,,,,,7,8,6,8,6,7,8,7,4,8,5,,7,8,8,7,8,,,,
134,3,0,6,138,0,-0.06,32,2,20.00,20.00,20.00,20.00,6.67,13.33,0,3.00,8.00,8.00,2.00,7.00,1.00,1.00,8.00,2,23,marine geophysics,10.00,,2,8,48,929.00,1,5,3,professor,6,20.51,15.38,12.82,20.51,12.82,17.95,7,8,8,8,8,,,,,,1,7.00,8.00,9.00,8.00,7.00,8.00,7.00,5.00,2,1.00,6.67,22.22,20.00,17.78,17.78,15.56,7.00,9.00,8.00,7,9,6,,,,,,,10.00,18.00,18.00,18.00,18.00,18.00,8,9,7,8,7,5,22.50,17.50,12.50,20.00,12.50,15.00,7,8,9,7,9,,,,,0,9.52,19.05,19.05,19.05,19.05,14.29,,,,,,,7,8,6,8,6,7,8,7,4,8,5,,7,8,8,7,8,,,,
134,3,0,6,139,0,0.15,37,4,18.75,16.67,18.75,20.83,12.50,12.50,1,7.00,9.00,9.00,7.00,6.00,,7.00,6.00,2,23,marine geophysics,10.00,,2,8,48,929.00,1,5,3,professor,6,20.51,15.38,12.82,20.51,12.82,17.95,7,8,8,8,8,,,,,,0,7.00,7.00,8.00,5.00,8.00,5.00,6.00,6.00,2,1.00,6.67,22.22,20.00,17.78,17.78,15.56,7.00,9.00,8.00,7,9,6,,,,,,,10.00,18.00,18.00,18.00,18.00,18.00,8,9,7,8,7,5,22.50,17.50,12.50,20.00,12.50,15.00,7,8,9,7,9,,,,,0,9.52,19.05,19.05,19.05,19.05,14.29,,,,,,,7,8,6,8,6,7,8,7,4,8,5,,7,8,8,7,8,,,,
